id,name,modalityId,groupId,genreId,codcur,codper
1,"F2VERDE CABO DE GUERRA _ TODOS  MISTO",11,2,3,22,2
2,"F2AZUL CABO DE GUERRA _ TODOS  MISTO",11,4,3,22,2
3,"F2AZUL DANÇA DA LARANJA _ TODOS  MISTO",8,4,3,22,2
4,"F2VERDE DANÇA DA LARANJA _ TODOS  MISTO",8,2,3,22,2
5,"F2AZUL DERRUBA CONE _ TODOS  MISTO",10,4,3,22,2
6,"F2AZUL ESGRIMA _ TODOS  MISTO",9,4,3,22,2
7,"F2VERDE DERRUBA CONE _ TODOS  MISTO",10,2,3,22,2
8,"F2VERDE ESGRIMA _ TODOS  MISTO",9,2,3,22,2
9,"F2AZUL LIMPA QUADRA _ TODOS  MISTO",13,4,3,22,2
10,"F2VERDE LIMPA QUADRA _ TODOS  MISTO",13,2,3,22,2
11,"F2AZUL QUEIMADA S CRUZA _ TODOS  MISTO",12,4,3,22,2
12,"F2VERDE QUEIMADA S CRUZA _ TODOS  MISTO",12,2,3,22,2
13,"F2VERDE ROUBA BANDEIRA  MISTO",1,2,3,22,2
14,"F2VERDE BOLICHE COOP  MISTO",2,2,3,22,2
15,"F2VERDE FUTSAL  MISTO",3,2,3,22,2
16,"F2VERDE CORRIDA  MISTO",4,2,3,22,2
17,"F2VERDE DERRUBA TORA  MISTO",5,2,3,22,2
18,"F2VERDE NAT TRAVESSIA DO RIO 4 EQUIPES  MISTO",6,2,3,22,2
19,"F2VERDE NAT CAÇA TESOURO 4 EQUIPES  MISTO",7,2,3,22,2
20,"F2AZUL ROUBA BANDEIRA  MISTO",1,4,3,22,2
21,"F2AZUL BOLICHE COOP  MISTO",2,4,3,22,2
22,"F2AZUL FUTSAL  MISTO",3,4,3,22,2
23,"F2AZUL CORRIDA  MISTO",4,4,3,22,2
24,"F2AZUL DERRUBA TORA  MISTO",5,4,3,22,2
25,"F2AZUL NAT TRAVESSIA DO RIO 4 EQUIPES  MISTO",6,4,3,22,2
26,"F2AZUL NAT CAÇA TESOURO 4 EQUIPES  MISTO",7,4,3,22,2
27,"F3AZUL ROUBA BANDEIRA  MISTO",1,8,3,22,3
28,"F3AZUL BOLICHE COOP 3ANO  MISTO",17,8,3,22,3
29,"F3AZUL JOGO DOS 5 PASSES  MISTO",15,8,3,22,3
30,"F3AZUL CORRIDA 3 ANO  MISTO",18,8,3,22,3
31,"F3AZUL SUMÔ DE ALMOFADA  MISTO",16,8,3,22,3
32,"F3AZUL NAT TRAVESSIA DO RIO 5 EQUIPES  MISTO",20,8,3,22,3
33,"F3AZUL NAT CAÇA AO TESOURO 5 EQUIPES  MISTO",19,8,3,22,3
34,"F3AZUL ACERTANDO O ALVO  MISTO",22,8,3,22,3
35,"F3AZUL XADREZ_PARTICIPATIVO  MISTO",23,8,3,22,3
36,"F3AZUL DANÇA DA LARANJA 3 ANO _TODOS  MISTO",21,8,3,22,3
37,"F3AZUL CABO DE GUERRA _ TODOS  MISTO",11,8,3,22,3
38,"F3AZUL QUEIMADA_TODOS  MISTO",14,8,3,22,3
39,"F3AZUL LIMPA QUADRA _ TODOS  MISTO",13,8,3,22,3
40,"F3LARANJA ROUBA BANDEIRA  MISTO",1,5,3,22,3
41,"F3LARANJA BOLICHE COOP 3ANO  MISTO",17,5,3,22,3
42,"F3LARANJA JOGO DOS 5 PASSES  MISTO",15,5,3,22,3
43,"F3LARANJA CORRIDA 3 ANO  MISTO",18,5,3,22,3
44,"F3LARANJA SUMÔ DE ALMOFADA  MISTO",16,5,3,22,3
45,"F3LARANJA NAT TRAVESSIA DO RIO 5 EQUIPES  MIS",20,5,3,22,3
46,"F3LARANJA NAT CAÇA AO TESOURO 5 EQUIPES  MIST",19,5,3,22,3
47,"F3LARANJA ACERTANDO O ALVO  MISTO",22,5,3,22,3
48,"F3LARANJA XADREZ_PARTICIPATIVO  MISTO",23,5,3,22,3
49,"F3LARANJA DANÇA DA LARANJA 3 ANO _TODOS  MIST",21,5,3,22,3
50,"F3LARANJA CABO DE GUERRA _ TODOS  MISTO",11,5,3,22,3
51,"F3LARANJA QUEIMADA_TODOS  MISTO",14,5,3,22,3
52,"F3LARANJA LIMPA QUADRA _ TODOS  MISTO",13,5,3,22,3
53,"F3LILÁS ROUBA BANDEIRA  MISTO",1,6,3,22,3
54,"F3LILÁS BOLICHE COOP 3ANO  MISTO",17,6,3,22,3
55,"F3LILÁS JOGO DOS 5 PASSES  MISTO",15,6,3,22,3
56,"F3LILÁS CORRIDA 3 ANO  MISTO",18,6,3,22,3
57,"F3LILÁS SUMÔ DE ALMOFADA  MISTO",16,6,3,22,3
58,"F3LILÁS NAT CAÇA AO TESOURO 5 EQUIPES  MISTO",19,6,3,22,3
59,"F3LILÁS NAT TRAVESSIA DO RIO 5 EQUIPES  MISTO",20,6,3,22,3
60,"F3LILÁS ACERTANDO O ALVO  MISTO",22,6,3,22,3
61,"F3LILÁS XADREZ_PARTICIPATIVO  MISTO",23,6,3,22,3
62,"F3LILÁS DANÇA DA LARANJA 3 ANO _TODOS  MISTO",21,6,3,22,3
63,"F3LILÁS CABO DE GUERRA _ TODOS  MISTO",11,6,3,22,3
64,"F3LILÁS QUEIMADA_TODOS  MISTO",14,6,3,22,3
65,"F3LILÁS LIMPA QUADRA _ TODOS  MISTO",13,6,3,22,3
66,"F3VERDE ROUBA BANDEIRA  MISTO",1,7,3,22,3
67,"F3VERDE BOLICHE COOP 3ANO  MISTO",17,7,3,22,3
68,"F3VERDE JOGO DOS 5 PASSES  MISTO",15,7,3,22,3
69,"F3VERDE CORRIDA 3 ANO  MISTO",18,7,3,22,3
70,"F3VERDE SUMÔ DE ALMOFADA  MISTO",16,7,3,22,3
71,"F3VERDE NAT TRAVESSIA DO RIO 5 EQUIPES  MISTO",20,7,3,22,3
72,"F3VERDE NAT CAÇA AO TESOURO 5 EQUIPES  MISTO",19,7,3,22,3
73,"F3VERDE ACERTANDO O ALVO  MISTO",22,7,3,22,3
74,"F3VERDE XADREZ_PARTICIPATIVO  MISTO",23,7,3,22,3
75,"F3VERDE DANÇA DA LARANJA 3 ANO _TODOS  MISTO",21,7,3,22,3
76,"F3VERDE CABO DE GUERRA _ TODOS  MISTO",11,7,3,22,3
77,"F3VERDE QUEIMADA_TODOS  MISTO",14,7,3,22,3
78,"F3VERDE LIMPA QUADRA _ TODOS  MISTO",13,7,3,22,3
79,"F3VERMELHO ROUBA BANDEIRA  MISTO",1,9,3,22,3
80,"F3VERMELHO BOLICHE COOP 3ANO  MISTO",17,9,3,22,3
81,"F3VERMELHO JOGO DOS 5 PASSES  MISTO",15,9,3,22,3
82,"F3VERMELHO CORRIDA 3 ANO  MISTO",18,9,3,22,3
83,"F2LARANJA ROUBA BANDEIRA  MISTO",1,1,3,22,2
84,"F3VERMELHO SUMÔ DE ALMOFADA  MISTO",16,9,3,22,3
85,"F2LARANJA BOLICHE COOP  MISTO",2,1,3,22,2
86,"F3VERMELHO NAT TRAVESSIA DO RIO 5 EQUIPES  MI",20,9,3,22,3
87,"F2LARANJA FUTSAL  MISTO",3,1,3,22,2
88,"F3VERMELHO NAT CAÇA AO TESOURO 5 EQUIPES  MIS",19,9,3,22,3
89,"F2LARANJA CORRIDA  MISTO",4,1,3,22,2
90,"F3VERMELHO ACERTANDO O ALVO  MISTO",22,9,3,22,3
91,"F3VERMELHO XADREZ_PARTICIPATIVO  MISTO",23,9,3,22,3
92,"F2LARANJA DERRUBA TORA  MISTO",5,1,3,22,2
93,"F3VERMELHO DANÇA DA LARANJA 3 ANO _TODOS  MIS",21,9,3,22,3
94,"F2LARANJA NAT TRAVESSIA DO RIO 4 EQUIPES  MIS",6,1,3,22,2
95,"F3VERMELHO CABO DE GUERRA _ TODOS  MISTO",11,9,3,22,3
96,"F2LARANJA NAT CAÇA TESOURO 4 EQUIPES  MISTO",7,1,3,22,2
97,"F3VERMELHO QUEIMADA_TODOS  MISTO",14,9,3,22,3
98,"F2LARANJA DANÇA DA LARANJA _ TODOS  MISTO",8,1,3,22,2
99,"F3VERMELHO LIMPA QUADRA _ TODOS  MISTO",13,9,3,22,3
100,"F2LARANJA DERRUBA CONE _ TODOS  MISTO",10,1,3,22,2
101,"F2LARANJA ESGRIMA _ TODOS  MISTO",9,1,3,22,2
102,"F2LARANJA CABO DE GUERRA _ TODOS  MISTO",11,1,3,22,2
103,"F2LARANJA QUEIMADA S CRUZA _ TODOS  MISTO",12,1,3,22,2
104,"F2LARANJA LIMPA QUADRA _ TODOS  MISTO",13,1,3,22,2
105,"F2LILÁS ROUBA BANDEIRA  MISTO",1,3,3,22,2
106,"F2LILÁS BOLICHE COOP  MISTO",2,3,3,22,2
107,"F2LILÁS FUTSAL  MISTO",3,3,3,22,2
108,"F2LILÁS CORRIDA  MISTO",4,3,3,22,2
109,"F2LILÁS DERRUBA TORA  MISTO",5,3,3,22,2
110,"F2LILÁS NAT TRAVESSIA DO RIO 4 EQUIPES  MISTO",6,3,3,22,2
111,"F2LILÁS NAT CAÇA TESOURO 4 EQUIPES  MISTO",7,3,3,22,2
112,"F2LILÁS DANÇA DA LARANJA _ TODOS  MISTO",8,3,3,22,2
113,"F2LILÁS DERRUBA CONE _ TODOS  MISTO",10,3,3,22,2
114,"F2LILÁS ESGRIMA _ TODOS  MISTO",9,3,3,22,2
115,"F2LILÁS CABO DE GUERRA _ TODOS  MISTO",11,3,3,22,2
116,"F2LILÁS QUEIMADA S CRUZA _ TODOS  MISTO",12,3,3,22,2
117,"F2LILÁS LIMPA QUADRA _ TODOS  MISTO",13,3,3,22,2
118,"F4AZUL ROUBA COCAR  MISTO",24,10,3,22,4
119,"F4LARANJA ROUBA COCAR  MISTO",24,12,3,22,4
120,"F4LILÁS ROUBA COCAR  MISTO",24,13,3,22,4
121,"F4VERDE ROUBA COCAR  MISTO",24,11,3,22,4
122,"F4VERMELHO ROUBA COCAR  MISTO",24,14,3,22,4
123,"F4AZUL FUTEBOL DE INDIO  MISTO",25,10,3,22,4
124,"F4LARANJA FUTEBOL DE INDIO  MISTO",25,12,3,22,4
125,"F4LILÁS FUTEBOL DE INDIO  MISTO",25,13,3,22,4
126,"F4VERDE FUTEBOL DE INDIO  MISTO",25,11,3,22,4
127,"F4VERMELHO FUTEBOL DE INDIO  MISTO",25,14,3,22,4
128,"F4AZUL BASQUETE  MISTO",26,10,3,22,4
129,"F4LARANJA BASQUETE  MISTO",26,12,3,22,4
130,"F4LILÁS BASQUETE  MISTO",26,13,3,22,4
131,"F4VERDE BASQUETE  MISTO",26,11,3,22,4
132,"F4VERMELHO BASQUETE  MISTO",26,14,3,22,4
133,"F5LARANJA PING-PÉ  MISTO",27,15,3,22,5
134,"F5LARANJA BALL ROYALE  MISTO",28,15,3,22,5
135,"F5LARANJA PEGADOR CEGO  MISTO",29,15,3,22,5
136,"F5LARANJA PIQUE BALL  MISTO",30,15,3,22,5
137,"F5LARANJA FUTPEGA  MISTO",31,15,3,22,5
138,"F5LARANJA GUERRA DE ALMOFADAS  MISTO",32,15,3,22,5
139,"F5LARANJA ROUBA BANDEIRA  MISTO",1,15,3,22,5
140,"F5LARANJA NAT CAÇA AO TESOURO 5 EQUIPES  MIST",19,15,3,22,5
141,"F5LARANJA NAT NATAÇÃO  MISTO",33,15,3,22,5
142,"F5LARANJA DANÇA DOS COLCHONETES  MISTO",34,15,3,22,5
143,"F5LARANJA QUEIMADA 2 BOLAS _ TODOS  MISTO",35,15,3,22,5
144,"F5LARANJA QUEBRA CABEÇA COOPERATIVO _ TODOS  ",36,15,3,22,5
145,"F5LARANJA VOLEIBOLÃO _ TODOS  MISTO",37,15,3,22,5
146,"F5LILÁS PING-PÉ  MISTO",27,16,3,22,5
147,"F5LILÁS BALL ROYALE  MISTO",28,16,3,22,5
148,"F5LILÁS PEGADOR CEGO  MISTO",29,16,3,22,5
149,"F5LILÁS PIQUE BALL  MISTO",30,16,3,22,5
150,"F5LILÁS FUTPEGA  MISTO",31,16,3,22,5
151,"F5LILÁS GUERRA DE ALMOFADAS  MISTO",32,16,3,22,5
152,"F5LILÁS ROUBA BANDEIRA  MISTO",1,16,3,22,5
153,"F5LILÁS NAT CAÇA AO TESOURO 5 EQUIPES  MISTO",19,16,3,22,5
154,"F5LILÁS NAT NATAÇÃO  MISTO",33,16,3,22,5
155,"F5LILÁS DANÇA DOS COLCHONETES  MISTO",34,16,3,22,5
156,"F5LILÁS QUEIMADA 2 BOLAS _ TODOS  MISTO",35,16,3,22,5
157,"F5LILÁS QUEBRA CABEÇA COOPERATIVO _ TODOS  MI",36,16,3,22,5
158,"F5LILÁS VOLEIBOLÃO _ TODOS  MISTO",37,16,3,22,5
159,"F5AZUL PING-PÉ  MISTO",27,17,3,22,5
160,"F5AZUL BALL ROYALE  MISTO",28,17,3,22,5
161,"F5AZUL PEGADOR CEGO  MISTO",29,17,3,22,5
162,"F5AZUL PIQUE BALL  MISTO",30,17,3,22,5
163,"F5AZUL FUTPEGA  MISTO",31,17,3,22,5
